user_id,navigation_nps,started_survey,edited_survey,published_nps
120,2022-05-24 06:10:11.376,2022-05-26 04:38:44.721,2022-05-26 04:38:44.752,
121,2022-05-11 12:25:02.502,,,
122,2022-04-21 20:40:41.194,,,
123,2022-05-18 14:54:31.276,,,
124,2022-04-07 05:39:39.028,,,
125,2022-03-08 19:58:32.798,,,
126,2022-02-24 19:21:01.162,,,
127,2022-04-20 11:18:10.920,,,
128,2022-06-02 21:47:34.465,,2022-06-02 21:47:53.182,
129,2022-01-20 14:39:10.841,2022-01-20 14:39:15.971,2022-01-20 14:39:16.093,
130,2022-04-12 20:05:33.529,,,
131,2022-05-26 13:10:10.116,,2022-08-03 08:05:11.171,
132,2022-05-04 17:14:46.375,2022-05-04 17:14:48.587,2022-05-04 17:14:48.587,2022-05-04 17:27:08.270
133,2022-03-22 02:02:48.841,,2022-03-22 02:03:15.970,
134,2022-03-25 21:08:44.451,,,
135,2022-04-13 14:58:47.290,,2022-05-02 15:40:50.725,
136,2022-05-10 12:09:57.505,,,
137,2022-05-19 13:01:44.061,,2022-07-27 12:03:58.454,
138,2022-02-02 10:44:21.514,,,
139,2022-01-14 15:38:07.485,,,
140,2022-12-14 22:31:47.741,,,
141,2022-02-28 18:00:17.431,,,
142,2022-02-21 15:45:56.801,,,
143,2022-12-13 11:46:36.263,,,
144,2022-05-05 10:31:11.490,,,
145,2022-12-13 13:34:07.713,,,
146,2022-05-29 05:41:12.707,,,
147,2022-12-16 18:56:45.965,2022-12-16 18:56:49.100,2022-12-16 18:56:49.345,
148,2022-01-06 18:41:54.608,,,
149,2022-01-14 22:28:05.199,,,
150,2022-12-12 15:50:30.108,,,
151,2022-02-08 04:32:52.737,,,
152,2022-05-12 14:12:13.475,,,
153,2022-05-09 09:39:45.820,,,
154,2022-01-10 18:33:44.940,,2022-01-17 14:43:19.576,
155,2022-01-14 19:35:00.899,,,
156,2022-05-23 11:58:35.755,,,
157,2022-03-22 15:04:09.160,,2022-03-22 15:04:18.451,
158,2022-12-21 05:10:32.622,,,
159,2022-01-12 20:55:28.328,,,
160,2022-01-04 21:36:21.349,,,
161,2022-01-26 13:58:30.849,,,
162,2022-03-23 12:50:30.454,,2022-03-23 12:50:32.461,
163,2022-01-03 12:29:14.776,,,
164,2022-04-07 22:12:37.095,2022-04-07 22:13:19.721,2022-04-07 22:13:19.721,
165,2022-01-31 20:03:42.411,,,
166,2022-01-12 07:51:23.186,,2022-02-14 13:36:50.803,
167,2022-05-02 13:33:43.919,,,
168,2022-01-21 20:43:15.202,,,
169,2022-02-21 11:49:06.730,,2022-03-22 14:17:30.081,
170,2022-01-26 13:44:19.755,,2022-03-07 14:24:32.424,
171,2022-02-22 14:28:50.091,,2022-02-22 17:23:07.428,2022-03-03 17:53:04.798
172,2022-01-20 13:03:39.876,,,
173,2022-01-24 07:37:26.085,,2022-02-04 09:45:48.412,
174,2022-02-16 15:13:50.779,,,
175,2022-05-17 21:35:33.714,,,
176,2022-03-03 11:40:33.147,,,
177,2022-03-24 19:24:12.844,,2022-03-24 19:24:34.925,
178,2022-03-04 21:24:27.842,,2022-03-04 21:44:16.076,2022-03-04 21:52:54.374
179,2022-02-15 19:54:55.904,,2022-02-15 20:19:38.989,2022-02-15 20:23:31.616
180,2022-01-03 16:49:12.725,,2022-01-04 17:18:39.794,
181,2022-03-18 15:37:12.938,,,
182,2022-01-11 16:39:05.445,,2022-01-11 16:39:20.829,2022-01-11 16:45:39.569
183,2022-02-10 14:40:28.158,,,
184,2022-01-03 20:45:42.309,,,
185,2022-05-24 13:40:19.406,,,
186,2022-04-22 06:51:41.471,,,
187,2022-01-25 14:26:17.182,,2022-01-25 14:26:26.274,2022-01-25 15:39:39.833
188,2022-01-11 20:01:33.043,,2022-04-05 17:11:50.854,
189,2022-12-19 18:15:35.074,,,
190,2022-04-04 18:16:31.879,,,
191,2022-12-12 19:13:40.356,,,
192,2022-01-11 18:19:34.691,,2022-12-07 19:11:36.958,
193,2022-03-15 13:10:48.151,,,
194,2022-01-13 20:49:12.638,,2022-01-13 20:49:18.066,
195,2022-12-13 16:24:02.296,,,
196,2022-05-17 01:33:01.495,,,
197,2022-12-12 16:22:18.963,,,
198,2022-05-26 08:46:21.499,,,
199,2022-01-20 20:39:57.647,,,
200,2022-03-25 10:43:01.636,2022-04-05 14:11:46.767,2022-04-05 14:11:46.776,2022-04-05 14:17:09.615
201,2022-04-12 13:56:45.528,,,
202,2022-01-28 18:21:26.402,,,
203,2022-01-26 14:07:53.516,,,
204,2022-02-02 00:22:28.519,,2022-02-02 00:58:24.859,
205,2022-06-01 19:29:57.227,,,
206,2022-02-11 12:27:39.837,,,
207,2022-02-09 10:38:36.971,2022-03-01 08:26:01.950,2022-03-01 08:26:01.950,
208,2022-04-27 14:16:15.328,,,
209,2022-04-05 21:09:08.472,,,
